"lp";"kod";"obszar";"iteracja";"nazwa_przeplywu";"typ";"profil";"target_end_time";"critical_end_time";"wersja";"opis_pliku";"sciezka_pliku";"zrodlo";"kontakt";"popup_html";"uwagi";"confluence_storage"
"62";"FID3C-882";"IDCC(c) - Individual Validation";"IDCC(c)";"Initial Intraday ATCs";"882";"MIN";"03:00";"03:20";"1";"Initial Intraday ATCs (FID3C-882) — początkowe wartości ATC dla intraday; wejście walidacji ATC. Składowa paczki.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-882 — Initial Intraday ATCs (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial Intraday ATCs (FID3C-882) — początkowe wartości ATC dla intraday; wejście walidacji ATC. Składowa paczki.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:20 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"63";"RAP_PERUN_ID3C";"IDCC(c) - Individual Validation";"IDCC(c)";"Raporty ID3C z Perun";"RAP";"SFTP";"03:20";"03:50";"1";"Raporty z Perun (RAP_PERUN_ID3C) — raporty walidacyjne z procesu Perun4V (charakter informacyjny).";"Perun4V [N03] → kdm6 [N11] / MinIO [N04]";"Perun4V (N03)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">RAP_PERUN_ID3C — Raporty ID3C z Perun (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Raporty z Perun (RAP_PERUN_ID3C) — raporty walidacyjne z procesu Perun4V (charakter informacyjny).</p><p><strong>Ścieżka pliku:</strong> Perun4V [N03] → kdm6 [N11] / MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V (N03) &nbsp;|&nbsp; <strong>Profil:</strong> SFTP &nbsp;|&nbsp; <strong>TET:</strong> 03:20 &nbsp; <strong>CET:</strong> 03:50 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"64";"FID3C-701_ATC";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Vertices of Initial FB Domain/CB Validation file ATC";"701_ATC";"MIN";"03:00";"03:30";"1";"Vertices / CB Validation file ATC (FID3C-701_ATC) — wierzchołki domeny / plik walidacji CB dla ścieżki ATC. Składowa paczki ATC.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-701_ATC — Vertices of Initial FB Domain/CB Validation file ATC (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Vertices / CB Validation file ATC (FID3C-701_ATC) — wierzchołki domeny / plik walidacji CB dla ścieżki ATC. Składowa paczki ATC.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"65";"FID3C-632";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Reference Program (RefProg)";"632";"MIN";"02:40";"03:30";"3";"Reference Program (RefProg, FID3C-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-632 — Reference Program (RefProg) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Reference Program (RefProg, FID3C-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 02:40 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"66";"FID3C-645";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Initial FB Domain (RefProg Bal)";"645";"MIN";"03:00";"03:30";"1";"Initial FB Domain (Virgin / RefProg Bal, FID3C-645) — początkowa domena Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V / proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-645 — Initial FB Domain (RefProg Bal) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial FB Domain (Virgin / RefProg Bal, FID3C-645) — początkowa domena Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V / proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"67";"FID3C-882";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Initial Intraday ATCs";"882";"MIN";"03:00";"03:20";"1";"Initial Intraday ATCs (FID3C-882) — początkowe wartości ATC dla intraday; wejście walidacji ATC. Składowa paczki.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-882 — Initial Intraday ATCs (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial Intraday ATCs (FID3C-882) — początkowe wartości ATC dla intraday; wejście walidacji ATC. Składowa paczki.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:20 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"68";"PERUN_ID3C_ATC";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"AGR Paczka ZIP_ATC ID3C do Perun";"PERUN_ATC";"2MS";"03:00";"03:30";"1";"AGR Paczka ZIP_ATC (PERUN_ID3C_ATC) — paczka wejściowa dla odrębnej ścieżki walidacji domeny ATC.";"Agregacja składowych → MinIO [N04] / sFTP [N12] → Perun4V [N03]";"agregacja";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">PERUN_ID3C_ATC — AGR Paczka ZIP_ATC ID3C do Perun (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> AGR Paczka ZIP_ATC (PERUN_ID3C_ATC) — paczka wejściowa dla odrębnej ścieżki walidacji domeny ATC.</p><p><strong>Ścieżka pliku:</strong> Agregacja składowych → MinIO [N04] / sFTP [N12] → Perun4V [N03]</p><p><strong>Źródło:</strong> agregacja &nbsp;|&nbsp; <strong>Profil:</strong> 2MS &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"69";"FID3C-610";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Merged Generation and Load Shift Keys (GLSK)";"610";"MIN";"02:40";"03:30";"1";"Merged GLSK (FID3C-610) — scalone GLSK wszystkich TSO regionu Core. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-610 — Merged Generation and Load Shift Keys (GLSK) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Merged GLSK (FID3C-610) — scalone GLSK wszystkich TSO regionu Core. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 02:40 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"70";"FID3C-620";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Merged DACF/IDCF Common Grid Model (CGM)";"620";"MIN";"02:40";"03:30";"4";"Merged DACF/IDCF Common Grid Model (CGM, FID3C-620) — scalony wspólny model sieci zbudowany z modeli indywidualnych (IGM) TSO. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core / Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-620 — Merged DACF/IDCF Common Grid Model (CGM) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Merged DACF/IDCF Common Grid Model (CGM, FID3C-620) — scalony wspólny model sieci zbudowany z modeli indywidualnych (IGM) TSO. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core / Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 02:40 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 4</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"71";"FID3C-632";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Reference Program (RefProg)";"632";"MIN";"02:40";"03:30";"3";"Reference Program (RefProg, FID3C-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-632 — Reference Program (RefProg) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Reference Program (RefProg, FID3C-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 02:40 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"72";"FID3C-645";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Initial FB Domain (Virgin RefProg Bal)";"645";"MIN";"03:00";"03:30";"1";"Initial FB Domain (Virgin / RefProg Bal, FID3C-645) — początkowa domena Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V / proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-645 — Initial FB Domain (Virgin RefProg Bal) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial FB Domain (Virgin / RefProg Bal, FID3C-645) — początkowa domena Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V / proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"73";"FID3C-657";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Real Generation and Load Shift Keys (GLSK)";"657";"MIN";"03:00";"03:30";"1";"Real GLSK (FID3C-657) — rzeczywiste klucze GLSK (po dostosowaniu do bieżącego stanu). Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-657 — Real Generation and Load Shift Keys (GLSK) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Real GLSK (FID3C-657) — rzeczywiste klucze GLSK (po dostosowaniu do bieżącego stanu). Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"74";"FID3C-659";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"CGM Data Quality Check";"659";"MIN";"03:00";"03:30";"1";"CGM Data Quality Check (FID3C-659) — raport kontroli jakości danych scalonego modelu CGM. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-659 — CGM Data Quality Check (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> CGM Data Quality Check (FID3C-659) — raport kontroli jakości danych scalonego modelu CGM. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"75";"FID3C-665";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Individual Filtered Critical Branches (CB)";"665";"MIN";"03:00";"03:30";"1";"Individual Filtered Critical Branches (CB, FID3C-665) — indywidualne, przefiltrowane gałęzie krytyczne PSE. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-665 — Individual Filtered Critical Branches (CB) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Individual Filtered Critical Branches (CB, FID3C-665) — indywidualne, przefiltrowane gałęzie krytyczne PSE. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"76";"FID3C-701_ATC";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Vertices of Initial FB Domain/CB Validation file ATC";"701_ATC";"MIN";"03:00";"03:30";"1";"Vertices / CB Validation file ATC (FID3C-701_ATC) — wierzchołki domeny / plik walidacji CB dla ścieżki ATC. Składowa paczki ATC.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-701_ATC — Vertices of Initial FB Domain/CB Validation file ATC (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Vertices / CB Validation file ATC (FID3C-701_ATC) — wierzchołki domeny / plik walidacji CB dla ścieżki ATC. Składowa paczki ATC.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"77";"XID3C_RA";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Plik ze środkami zaradczymi z aplikacji KreatorDACF_CGMES";"RA";"MIN";"03:00";"03:30";"3";"Plik ze środkami zaradczymi (RA, XID3C_RA) — remedial actions wygenerowane w Kreatorze; publikowane razem z GLSK/CBCORA i jako składowa paczki.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"KreatorIDCF (N08)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">XID3C_RA — Plik ze środkami zaradczymi z aplikacji KreatorDACF_CGMES (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Plik ze środkami zaradczymi (RA, XID3C_RA) — remedial actions wygenerowane w Kreatorze; publikowane razem z GLSK/CBCORA i jako składowa paczki.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> KreatorIDCF (N08) &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"78";"FID3C-710_ATC";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"IVA_ATC";"710_ATC";"MIN";"03:10";"03:50";"1";"IVA_ATC (FID3C-710_ATC) — IVA dla odrębnej ścieżki walidacji domeny ATC.";"Perun4V [N03] → MinIO [N04] / Connector 2.0 [N05] → CCM [N01]";"Perun4V (N03)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-710_ATC — IVA_ATC (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> IVA_ATC (FID3C-710_ATC) — IVA dla odrębnej ścieżki walidacji domeny ATC.</p><p><strong>Ścieżka pliku:</strong> Perun4V [N03] → MinIO [N04] / Connector 2.0 [N05] → CCM [N01]</p><p><strong>Źródło:</strong> Perun4V (N03) &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:10 &nbsp; <strong>CET:</strong> 03:50 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"79";"RAP_PERUN_ID3C_ATC";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Raporty ID3C ATC z Perun";"RAP";"SFTP";"03:20";"03:50";"1";"Raporty z Perun (RAP_PERUN_ID3C_ATC) — raporty walidacyjne z procesu Perun4V (charakter informacyjny).";"Perun4V [N03] → kdm6 [N11] / MinIO [N04]";"Perun4V (N03)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">RAP_PERUN_ID3C_ATC — Raporty ID3C ATC z Perun (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Raporty z Perun (RAP_PERUN_ID3C_ATC) — raporty walidacyjne z procesu Perun4V (charakter informacyjny).</p><p><strong>Ścieżka pliku:</strong> Perun4V [N03] → kdm6 [N11] / MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V (N03) &nbsp;|&nbsp; <strong>Profil:</strong> SFTP &nbsp;|&nbsp; <strong>TET:</strong> 03:20 &nbsp; <strong>CET:</strong> 03:50 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"80";"FID3C-928";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"ATC Based Validation";"928";"2CCT";"03:10";"03:50";"1";"ATC Based Validation (FID3C-928) — plik ZWROTNY: wynik walidacji ATC prowadzonej centralnie w Core CC Tool (strumień odrębny od FBA). NIE jest wysyłany przez TSO; publikowany CCCt → TSO przez Connector 2.0.";"Paczka ATC (PERUN_IDx_ATC) → Core CC Tool [N02] (walidacja ATC) → Connector 2.0 [N05] → CCM [N01]";"Core CC Tool (N02)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID3C-928_popup.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-928 — ATC Based Validation (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> ATC Based Validation (FID3C-928) — plik ZWROTNY: wynik walidacji ATC prowadzonej centralnie w Core CC Tool (strumień odrębny od FBA). NIE jest wysyłany przez TSO; publikowany CCCt → TSO przez Connector 2.0.</p><p><strong>Ścieżka pliku:</strong> Paczka ATC (PERUN_IDx_ATC) → Core CC Tool [N02] (walidacja ATC) → Connector 2.0 [N05] → CCM [N01]</p><p><strong>Źródło:</strong> Core CC Tool (N02) &nbsp;|&nbsp; <strong>Profil:</strong> 2CCT &nbsp;|&nbsp; <strong>TET:</strong> 03:10 &nbsp; <strong>CET:</strong> 03:50 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"81";"FID3C-645";"IDCC(c) - Walidacja domeny ATC";"IDCC(c)";"Initial FB Domain (Virgin RefProg Bal)";"645";"MIN";"03:00";"03:30";"1";"Initial FB Domain (Virgin / RefProg Bal, FID3C-645) — początkowa domena Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V / proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-645 — Initial FB Domain (Virgin RefProg Bal) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial FB Domain (Virgin / RefProg Bal, FID3C-645) — początkowa domena Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V / proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
